Código FS,Hexadecimal
10032,#2a1610  
10045,#523f3e  
10049,#421814  
10055,#633517  
10075,#592e29  
10076,#712617  
10080,#553a28  
10091,#773517  
10115,#9e5d38  
10219,#926f5d  
10233,#a46d63  
10260,#cba46a  
10266,#aa824e  
10324,#af8d81  
10371,#c78d59  
11086,#a6001a  
11105,#a60117  
11120,#bd1e24  
11136,#9b0a18  
11140,#a7071c  
11302,#c8372e  
11310,#b44441  
11328,#b83347  
11350,#a93d43  
11400,#d33723  
11630,#e5b6b9  
11670,#f7cab9  
12160,#ac543b  
12197,#ce3500  
12199,#e62200  
12215,#d34b0c  
12243,#e06000  
12246,#dc4a00  
12250,#db4e3b  
12300,#e97600  
12473,#eb6602  
12648,#ecbf9e  
13275,#b4823a  
13415,#ee9600  
13432,#f49600  
13507,#ffab00  
13522,#ceb6a0  
13523,#dbb883  
13531,#d3b6a4  
13538,#f8a300  
13578,#dcc2a4  
13591,#f6c700  
13594,#f0c282  
13596,#e5bc7f  
13613,#f0c8a6  
13618,#f5c964  
13637,#e0a816  
13655,#ffbb00  
13670,#ded560  
13690,#ead1b5  
13695,#f6cb82  
13711,#eecdae  
14036,#172e29  
14050,#343730  
14052,#35352b  
14056,#29332f  
14062,#0f482e  
14064,#3f3b2f  
14066,#004d33  
14077,#383e37  
14079,#434333  
14081,#525347  
14084,#2d271a  
14087,#2e271a  
14090,#006539  
14097,#53593e  
14109,#005139  
14110,#18622d  
14115,#006d4e  
14120,#007256  
14158,#5f6c6d  
14159,#686d64  
14187,#457725  
14193,#2f9254  
14223,#528060  
14241,#7d9792  
14255,#8f8156  
14257,#8b845c  
14260,#569376  
14272,#6f947a  
14277,#819290  
14325,#79a196  
14449,#a2b398  
14491,#a7b8aa  
14516,#b1beb5  
14533,#abb593  
14672,#d1d2bf  
15042,#002d30  
15044,#172035  
15045,#122b3e  
15048,#3c485c  
15050,#123057  
15052,#3a5174  
15055,#3e476a  
15056,#16216a  
15065,#00477e  
15080,#0f4267  
15090,#004472  
15092,#0067a7  
15095,#3b6ba5  
15102,#09568d  
15107,#557792  
15123,#2c5da3  
15125,#006088  
15177,#547495  
15180,#0065b1  
15182,#0073ad  
15187,#0090c7  
15193,#4a808f  
15200,#47add5  
15450,#8eb1d6  
15526,#adbbcc  
16076,#5b606a  
16081,#47484a  
16099,#494f58  
16160,#806947  
16165,#706a5d  
16187,#647489  
16251,#848288  
16307,#95928f  
16314,#929396  
16350,#908472  
16357,#a79e92  
16360,#afa396  
16376,#a19d99  
16405,#c3b4a4  
16440,#b5afaf  
16473,#a2a7ad  
16480,#adbab5  
16492,#bfb9bb  
16515,#c2bfc6  
16555,#cebca6  
17038,#0b0b0d  
17043,#8e763e  
17100,#683c72  
17142,#994680  
17155,#964f8e  
17178,#92909a  
17773,#e3e3e4  
17778,#f0e1d3  
17855,#f4dfc5  
17860,#ece6ea  
17865,#e2e5e3  
17875,#f0e9ee  
17877,#e5efe9  
17886,#f6eae6  
17925,#faeff5  
20040,#42332a  
20045,#544040  
20059,#503832  
20061,#603335  
20062,#493937  
20065,#594f47  
20068,#5d5343  
20090,#685240  
20095,#705b4b  
20100,#85482b  
20109,#833e33  
20117,#7c503a  
20122,#6b462f  
20140,#7c5e50  
20150,#776550  
20152,#8c372e  
20155,#7d5947  
20170,#7e6c5b  
20180,#7f7260  
20206,#967070  
20219,#92705c  
20220,#8e7c6c  
20227,#9b7d6f  
20233,#a56f68  
